Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-11-09,7:30 PM,8:30 PM,Pittsburgh Penguins,2,Chicago Blackhawks,3,SO
2021-11-09,8:00 PM,9:00 PM,San Jose Sharks,4,Calgary Flames,1,Regulation
2021-11-09,9:00 PM,10:00 PM,Anaheim Ducks,3,Vancouver Canucks,2,OT
2021-11-09,9:00 PM,10:00 PM,Seattle Kraken,2,Vegas Golden Knights,4,Regulation
2021-11-10,6:30 PM,7:30 PM,Toronto Maple Leafs,3,Philadelphia Flyers,0,Regulation
2021-11-10,7:30 PM,8:30 PM,Nashville Predators,4,Dallas Stars,2,Regulation
2021-11-10,9:00 PM,10:00 PM,Minnesota Wild,5,Arizona Coyotes,2,Regulation
2021-11-11,6:00 PM,7:00 PM,Edmonton Oilers,5,Boston Bruins,3,Regulation
2021-11-11,6:00 PM,7:00 PM,Calgary Flames,2,Montreal Canadiens,4,Regulation
2021-11-11,6:00 PM,7:00 PM,Los Angeles Kings,2,Ottawa Senators,0,Regulation
2021-11-11,6:00 PM,7:00 PM,New York Islanders,0,New Jersey Devils,4,Regulation
2021-11-11,6:00 PM,7:00 PM,Florida Panthers,2,Pittsburgh Penguins,3,SO
2021-11-11,6:30 PM,7:30 PM,Washington Capitals,2,Detroit Red Wings,0,Regulation
2021-11-11,7:00 PM,8:00 PM,Nashville Predators,4,St. Louis Blues,3,OT
2021-11-11,7:00 PM,8:00 PM,San Jose Sharks,1,Winnipeg Jets,4,Regulation
2021-11-11,8:00 PM,9:00 PM,Vancouver Canucks,1,Colorado Avalanche,7,Regulation
2021-11-11,9:00 PM,10:00 PM,Minnesota Wild,2,Vegas Golden Knights,3,Regulation
2021-11-11,9:00 PM,10:00 PM,Anaheim Ducks,7,Seattle Kraken,4,Regulation
2021-11-12,6:00 PM,7:00 PM,Edmonton Oilers,2,Buffalo Sabres,3,Regulation
2021-11-12,6:00 PM,7:00 PM,Calgary Flames,1,Toronto Maple Leafs,2,OT
